random_state,enlr_base_accuracy,enlr_base_recall,enlr_base_f1,enlr_base_pr_auc,enlr_single_pass_accuracy,enlr_single_pass_recall,enlr_single_pass_f1,enlr_single_pass_pr_auc,enlr_multi_agent_all_accuracy,enlr_multi_agent_all_recall,enlr_multi_agent_all_f1,enlr_multi_agent_all_pr_auc,enlr_multi_agent_lc_accuracy,enlr_multi_agent_lc_recall,enlr_multi_agent_lc_f1,enlr_multi_agent_lc_pr_auc,enlr_multi_agent_cc_accuracy,enlr_multi_agent_cc_recall,enlr_multi_agent_cc_f1,enlr_multi_agent_cc_pr_auc,enlr_multi_agent_ls_accuracy,enlr_multi_agent_ls_recall,enlr_multi_agent_ls_f1,enlr_multi_agent_ls_pr_auc
1,0.9231644849174729,0.8378378378378378,0.5794392523364486,0.7779842108350843,0.9214570290267502,0.8558558558558559,0.5792682926829268,0.7250983251503551,0.92942515651679,0.8828828828828829,0.6125,0.770700919160644,0.9288560045532157,0.8738738738738738,0.6081504702194358,0.780371387520179,0.9288560045532157,0.8738738738738738,0.6081504702194358,0.761085896843163,0.9231644849174729,0.8468468468468469,0.5820433436532508,0.779603631518536
2,0.9203187250996016,0.8558558558558559,0.5757575757575758,0.8023060163562065,0.9248719408081958,0.8918918918918919,0.6,0.7675356282005499,0.9237336368810473,0.8738738738738738,0.5914634146341463,0.7910196133982083,0.9225953329538987,0.8738738738738738,0.5878787878787879,0.7944294302844753,0.9260102447353443,0.8918918918918919,0.6036585365853658,0.7919799375931311,0.9174729652817302,0.8738738738738738,0.5722713864306783,0.795129176681294
3,0.92942515651679,0.9099099099099099,0.6196319018404908,0.8002676408625967,0.9311326124075128,0.9099099099099099,0.6253869969040248,0.807064757087169,0.9373932840068299,0.9009009009009009,0.6451612903225806,0.8126463447572202,0.9362549800796812,0.918918918918919,0.6455696202531646,0.7971463816724561,0.9339783722253842,0.8828828828828829,0.6282051282051281,0.804706853384592,0.9368241320432555,0.918918918918919,0.6476190476190476,0.8124429280652575
4,0.9043824701195219,0.8558558558558559,0.5307262569832403,0.683400503630109,0.9043824701195219,0.8558558558558559,0.5307262569832403,0.676493564308857,0.894137734775185,0.8378378378378378,0.5,0.6710920344580439,0.8935685828116107,0.8468468468468469,0.5013333333333333,0.6673037380505767,0.8912919749573136,0.8198198198198198,0.4879356568364611,0.6642859038946459,0.8986909504837791,0.8468468468468469,0.5136612021857924,0.7000269533678698
5,0.9237336368810473,0.9099099099099099,0.6011904761904762,0.8434207331344015,0.93340922026181,0.9279279279279279,0.6377708978328174,0.8261423550751087,0.9271485486624929,0.918918918918919,0.6144578313253012,0.8160494392628441,0.9271485486624929,0.9099099099099099,0.6121212121212122,0.8349246078000178,0.92942515651679,0.9279279279279279,0.6242424242424243,0.8291837795222619,0.9299943084803642,0.918918918918919,0.6238532110091742,0.8377623667026096
6,0.9197495731360273,0.8648648648648649,0.5765765765765767,0.7466287050227408,0.9186112692088788,0.8558558558558559,0.5705705705705706,0.6993240905634573,0.9254410927717701,0.8558558558558559,0.5919003115264797,0.731943412995378,0.9214570290267502,0.8558558558558559,0.5792682926829268,0.7473181769480566,0.9163346613545816,0.8378378378378378,0.5585585585585585,0.7270198417596699,0.9231644849174729,0.8648648648648649,0.5871559633027523,0.7454575426425637
7,0.9225953329538987,0.9279279279279279,0.6023391812865497,0.8271653139075396,0.9322709163346613,0.9459459459459459,0.6382978723404256,0.8322272048661873,0.9282868525896414,0.9279279279279279,0.6204819277108433,0.8246942683396242,0.9243027888446215,0.918918918918919,0.6053412462908012,0.8267339377466968,0.9271485486624929,0.9369369369369369,0.619047619047619,0.8233820740715958,0.9248719408081958,0.9279279279279279,0.6094674556213017,0.8237445917340771
8,0.9311326124075128,0.8468468468468469,0.6084142394822006,0.7850551694875847,0.9379624359704041,0.8558558558558559,0.6354515050167224,0.7985329816478967,0.9402390438247012,0.8828828828828829,0.6511627906976744,0.7963819470022575,0.9328400682982356,0.8558558558558559,0.6168831168831168,0.7938352279528599,0.9402390438247012,0.8918918918918919,0.6534653465346535,0.8014610069276863,0.9339783722253842,0.8468468468468469,0.618421052631579,0.7948179457352667
9,0.9117814456459875,0.8828828828828829,0.5584045584045584,0.7942345891805409,0.9123505976095617,0.9099099099099099,0.5674157303370787,0.7511053133635075,0.9117814456459875,0.8828828828828829,0.5584045584045584,0.7791320758341864,0.9140580535002846,0.8918918918918919,0.5673352435530086,0.7920646170229103,0.9134889015367103,0.8918918918918919,0.5657142857142857,0.7781548070061792,0.9089356858281161,0.8918918918918919,0.553072625698324,0.7749989755467459
10,0.9225953329538987,0.8198198198198198,0.5723270440251572,0.7401627001763136,0.9277177006260672,0.8468468468468469,0.5968253968253969,0.7576733212495322,0.9282868525896414,0.8288288288288288,0.5935483870967742,0.7631235843977324,0.9248719408081958,0.8198198198198198,0.5796178343949044,0.7551114848338811,0.9265793966989186,0.8288288288288288,0.5878594249201278,0.7568793302435463,0.9248719408081958,0.8198198198198198,0.5796178343949044,0.7525856984104994
