random_state,lr_base_accuracy,lr_base_recall,lr_base_f1,lr_base_pr_auc,lr_single_pass_accuracy,lr_single_pass_recall,lr_single_pass_f1,lr_single_pass_pr_auc,lr_multi_agent_all_accuracy,lr_multi_agent_all_recall,lr_multi_agent_all_f1,lr_multi_agent_all_pr_auc,lr_multi_agent_lc_accuracy,lr_multi_agent_lc_recall,lr_multi_agent_lc_f1,lr_multi_agent_lc_pr_auc,lr_multi_agent_cc_accuracy,lr_multi_agent_cc_recall,lr_multi_agent_cc_f1,lr_multi_agent_cc_pr_auc,lr_multi_agent_ls_accuracy,lr_multi_agent_ls_recall,lr_multi_agent_ls_f1,lr_multi_agent_ls_pr_auc
1,0.9681274900398407,0.8828828828828829,0.7777777777777778,0.9013230531423836,0.9664200341491178,0.8738738738738738,0.766798418972332,0.8899862797747234,0.9669891861126921,0.8828828828828829,0.7716535433070866,0.903969541074475,0.9681274900398407,0.8828828828828829,0.7777777777777778,0.9037899802107991,0.9652817302219693,0.8738738738738738,0.7607843137254903,0.8984362747618984,0.9669891861126921,0.8918918918918919,0.7734375000000001,0.9028910277600766
2,0.9692657939669892,0.8648648648648649,0.7804878048780488,0.9030301807410865,0.9658508821855435,0.8738738738738738,0.7637795275590551,0.9008883512479003,0.9681274900398407,0.8738738738738738,0.7759999999999999,0.8957907862180062,0.9692657939669892,0.8648648648648649,0.7804878048780488,0.8931314277769742,0.9692657939669892,0.8828828828828829,0.784,0.8957470043247637,0.9692657939669892,0.8648648648648649,0.7804878048780488,0.901323450425683
3,0.9658508821855435,0.8828828828828829,0.7656250000000001,0.9116384797296275,0.9692657939669892,0.9099099099099099,0.7890625,0.9146667508532974,0.9669891861126921,0.8828828828828829,0.7716535433070866,0.9177451090164276,0.9669891861126921,0.8828828828828829,0.7716535433070866,0.9128199568772805,0.9681274900398407,0.8918918918918919,0.7795275590551181,0.913017821689939,0.9681274900398407,0.9099099099099099,0.7829457364341086,0.9229653018682749
4,0.9641434262948207,0.8918918918918919,0.7586206896551725,0.8131403684659382,0.9630051223676722,0.8918918918918919,0.7528517110266159,0.8188515321331624,0.9612976664769494,0.8648648648648649,0.7384615384615384,0.803338849860182,0.9618668184405236,0.8648648648648649,0.7413127413127414,0.8051338626710899,0.960728514513375,0.8648648648648649,0.7356321839080459,0.8034425257468036,0.9635742743312464,0.8828828828828829,0.7538461538461538,0.8301373112598138
5,0.9721115537848606,0.918918918918919,0.8063241106719369,0.9396721007746744,0.9732498577120091,0.918918918918919,0.8127490039840637,0.9438384737770333,0.9692657939669892,0.9099099099099099,0.7890625,0.9387273087332543,0.9704040978941377,0.9099099099099099,0.795275590551181,0.9366105048808387,0.9715424018212863,0.918918918918919,0.8031496062992127,0.9425219228709407,0.970973249857712,0.918918918918919,0.8000000000000002,0.938964591308145
6,0.9618668184405236,0.8468468468468469,0.7372549019607842,0.8842107363195891,0.9624359704040979,0.8738738738738738,0.7461538461538462,0.8866380320186057,0.960728514513375,0.8468468468468469,0.7315175097276265,0.8778086459104262,0.9658508821855435,0.8558558558558559,0.7600000000000001,0.8840590590230988,0.964712578258395,0.8468468468468469,0.752,0.8609780982146229,0.9664200341491178,0.8738738738738738,0.766798418972332,0.8917111310896678
7,0.9704040978941377,0.9369369369369369,0.8,0.945808152514859,0.9675583380762663,0.9459459459459459,0.7865168539325843,0.9512676972950056,0.9715424018212863,0.9279279279279279,0.8046874999999999,0.9449279536512074,0.9715424018212863,0.9369369369369369,0.8062015503875969,0.947033183110575,0.9726807057484348,0.9459459459459459,0.813953488372093,0.9470587985349443,0.9721115537848606,0.9369369369369369,0.8093385214007782,0.9428120553358365
8,0.9681274900398407,0.8558558558558559,0.7723577235772358,0.874068990569292,0.964712578258395,0.8558558558558559,0.7539682539682541,0.8730164767037206,0.9675583380762663,0.8648648648648649,0.7710843373493975,0.8743448849096404,0.9675583380762663,0.8558558558558559,0.7692307692307693,0.8757529839904706,0.9658508821855435,0.8648648648648649,0.7619047619047619,0.8752498687536039,0.9658508821855435,0.8648648648648649,0.7619047619047619,0.875004807509115
9,0.9612976664769494,0.8828828828828829,0.7424242424242423,0.9091945378170972,0.9624359704040979,0.9009009009009009,0.7518796992481204,0.9200311268975899,0.9664200341491178,0.8828828828828829,0.7686274509803921,0.914127416831463,0.964712578258395,0.8918918918918919,0.7615384615384615,0.9146035543393318,0.9681274900398407,0.8918918918918919,0.7795275590551181,0.9163283145408334,0.9641434262948207,0.9009009009009009,0.7604562737642586,0.9105633192164678
10,0.9567444507683551,0.7927927927927928,0.6984126984126985,0.8524254957650353,0.958451906659078,0.8108108108108109,0.7114624505928854,0.8558690434506822,0.9590210586226523,0.8108108108108109,0.7142857142857143,0.8637862084262836,0.9567444507683551,0.7927927927927928,0.6984126984126985,0.8596133948918314,0.9550369948776323,0.7927927927927928,0.6901960784313727,0.8602666990151819,0.9567444507683551,0.7927927927927928,0.6984126984126985,0.8585879828955346
11,0.9692657939669892,0.8828828828828829,0.784,0.9080693559689834,0.9664200341491178,0.8558558558558559,0.7630522088353413,0.908782506597045,0.9704040978941377,0.8738738738738738,0.7886178861788617,0.9092237075572172,0.9726807057484348,0.8828828828828829,0.8032786885245902,0.9096147521075122,0.9681274900398407,0.8648648648648649,0.7741935483870968,0.9055150161856249,0.9664200341491178,0.8648648648648649,0.7649402390438248,0.9092002505701013
12,0.9715424018212863,0.9009009009009009,0.7999999999999999,0.9271980014296923,0.970973249857712,0.9099099099099099,0.7984189723320158,0.9232412302594198,0.9715424018212863,0.9099099099099099,0.8015873015873017,0.9287804216533155,0.9726807057484348,0.9009009009009009,0.8064516129032258,0.9279108999788339,0.970973249857712,0.9099099099099099,0.7984189723320158,0.9227339306249327,0.9732498577120091,0.918918918918919,0.8127490039840637,0.9202585214653
13,0.9624359704040979,0.8288288288288288,0.7360000000000001,0.8723094300067921,0.9624359704040979,0.8558558558558559,0.7421875000000001,0.853676136364055,0.9658508821855435,0.8288288288288288,0.7540983606557377,0.875585753378419,0.9652817302219693,0.8288288288288288,0.7510204081632653,0.8729076174936247,0.9669891861126921,0.8468468468468469,0.7642276422764227,0.8746191272554944,0.964712578258395,0.8558558558558559,0.7539682539682541,0.8721371378211283
14,0.970973249857712,0.8738738738738738,0.7918367346938776,0.9166828449979603,0.9704040978941377,0.8468468468468469,0.7833333333333333,0.9085312828028798,0.9743881616391576,0.8828828828828829,0.8132780082987553,0.9180157513549643,0.9715424018212863,0.8738738738738738,0.7950819672131147,0.9124652612617301,0.974957313602732,0.8918918918918919,0.8181818181818182,0.9164200780625044,0.9732498577120091,0.8738738738738738,0.8049792531120332,0.9166030644799819
15,0.9658508821855435,0.8468468468468469,0.7580645161290324,0.879152340408301,0.9641434262948207,0.8558558558558559,0.7509881422924902,0.8818396312777066,0.9669891861126921,0.8648648648648649,0.768,0.8863882301358085,0.9658508821855435,0.8468468468468469,0.7580645161290324,0.8835923172859838,0.9698349459305634,0.8648648648648649,0.7836734693877551,0.8901443999932522,0.9641434262948207,0.8378378378378378,0.746987951807229,0.881832984375942
16,0.9652817302219693,0.7927927927927928,0.7426160337552742,0.848604775180379,0.9675583380762663,0.8108108108108109,0.759493670886076,0.8626698065636756,0.9675583380762663,0.7837837837837838,0.7532467532467533,0.8513350034539309,0.9681274900398407,0.7927927927927928,0.7586206896551724,0.8528685372531903,0.9669891861126921,0.7837837837837838,0.75,0.853996840327025,0.9692657939669892,0.8018018018018018,0.7672413793103449,0.8531004208365859
17,0.977233921457029,0.9099099099099099,0.8347107438016529,0.9245943643362116,0.9721115537848606,0.9099099099099099,0.8047808764940239,0.9165503473362623,0.9766647694934547,0.8918918918918919,0.8284518828451882,0.9258233451688528,0.9766647694934547,0.9099099099099099,0.831275720164609,0.9270293737502067,0.9743881616391576,0.9009009009009009,0.8163265306122449,0.9319688528342746,0.9755264655663062,0.9009009009009009,0.823045267489712,0.9256273574415345
18,0.9732498577120091,0.9009009009009009,0.8097165991902834,0.9228677719006069,0.9686966420034149,0.8918918918918919,0.782608695652174,0.9190504071474734,0.9675583380762663,0.8918918918918919,0.7764705882352941,0.915704615305367,0.9715424018212863,0.8918918918918919,0.7983870967741936,0.9180382673006335,0.970973249857712,0.8918918918918919,0.7951807228915664,0.9190829130006527,0.9704040978941377,0.8918918918918919,0.7919999999999999,0.9248458407319584
19,0.9658508821855435,0.8558558558558559,0.7600000000000001,0.8884235206347518,0.9675583380762663,0.8558558558558559,0.7692307692307693,0.8978617327885601,0.9658508821855435,0.8558558558558559,0.7600000000000001,0.8867288356240413,0.9681274900398407,0.8558558558558559,0.7723577235772358,0.8871965758863654,0.9630051223676722,0.8468468468468469,0.7430830039525691,0.8863801851077197,0.9658508821855435,0.8468468468468469,0.7580645161290324,0.884628517164382
