random_state,mlp_base_accuracy,mlp_base_recall,mlp_base_f1,mlp_base_pr_auc,mlp_single_pass_accuracy,mlp_single_pass_recall,mlp_single_pass_f1,mlp_single_pass_pr_auc,mlp_multi_agent_all_accuracy,mlp_multi_agent_all_recall,mlp_multi_agent_all_f1,mlp_multi_agent_all_pr_auc,mlp_multi_agent_lc_accuracy,mlp_multi_agent_lc_recall,mlp_multi_agent_lc_f1,mlp_multi_agent_lc_pr_auc,mlp_multi_agent_cc_accuracy,mlp_multi_agent_cc_recall,mlp_multi_agent_cc_f1,mlp_multi_agent_cc_pr_auc,mlp_multi_agent_ls_accuracy,mlp_multi_agent_ls_recall,mlp_multi_agent_ls_f1,mlp_multi_agent_ls_pr_auc
1,0.9817871371656233,0.8288288288288288,0.8518518518518519,0.9212479199296271,0.9795105293113261,0.8198198198198198,0.8348623853211008,0.9131439598278708,0.9800796812749004,0.8288288288288288,0.8401826484018264,0.9190118513052197,0.9795105293113261,0.8288288288288288,0.8363636363636363,0.9160129682075211,0.9817871371656233,0.8468468468468469,0.8545454545454546,0.9193939541224676,0.9817871371656233,0.8288288288288288,0.8518518518518519,0.9164445868071072
2,0.9829254410927718,0.8468468468468469,0.8623853211009174,0.9284957996499259,0.981217985202049,0.8558558558558559,0.852017937219731,0.9243666366447195,0.9852020489470689,0.8378378378378378,0.8773584905660378,0.9164096121684826,0.9852020489470689,0.8558558558558559,0.8796296296296297,0.923229407829395,0.983494593056346,0.8468468468468469,0.8663594470046083,0.9162204584067494,0.983494593056346,0.8378378378378378,0.8651162790697674,0.9196810505646383
3,0.9760956175298805,0.8738738738738738,0.8220338983050848,0.9195331912433535,0.9783722253841776,0.8468468468468469,0.8318584070796462,0.9315375936354042,0.977233921457029,0.8738738738738738,0.8290598290598291,0.9195678089906791,0.9783722253841776,0.8738738738738738,0.8362068965517241,0.9213068498607854,0.977233921457029,0.8468468468468469,0.8245614035087719,0.9187068186416243,0.9800796812749004,0.8828828828828829,0.8484848484848484,0.9185706679451899
4,0.9795105293113261,0.8648648648648649,0.8421052631578947,0.8223188508346092,0.9806488332384746,0.8738738738738738,0.8508771929824561,0.8265067195823986,0.9778030734206034,0.8468468468468469,0.8281938325991189,0.8245366796409686,0.977233921457029,0.8288288288288288,0.8214285714285715,0.8460380814298756,0.9760956175298805,0.8378378378378378,0.8157894736842105,0.8196607836811783,0.9795105293113261,0.8558558558558559,0.8407079646017699,0.8238278395024895
5,0.9846328969834945,0.8558558558558559,0.8755760368663594,0.9375260419176588,0.9846328969834945,0.8558558558558559,0.8755760368663594,0.950463901247194,0.9852020489470689,0.8468468468468469,0.8785046728971964,0.9394457552492393,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.932989455275141,0.9857712009106432,0.8558558558558559,0.8837209302325582,0.9487550544700778,0.9857712009106432,0.8648648648648649,0.8847926267281107,0.9374143749204058
6,0.981217985202049,0.8468468468468469,0.8506787330316742,0.9200407723037799,0.9829254410927718,0.8198198198198198,0.8584905660377359,0.9125501076353394,0.9852020489470689,0.8558558558558559,0.8796296296296297,0.9203585289617352,0.9840637450199203,0.8468468468468469,0.8703703703703703,0.9195725990945921,0.9840637450199203,0.8468468468468469,0.8703703703703703,0.9192675999249745,0.9852020489470689,0.8558558558558559,0.8796296296296297,0.9234949790034231
7,0.9823562891291975,0.8288288288288288,0.8558139534883721,0.9401747898914673,0.9857712009106432,0.8828828828828829,0.8868778280542986,0.9473891650230272,0.9852020489470689,0.8918918918918919,0.8839285714285714,0.9473300657843571,0.9823562891291975,0.8558558558558559,0.8597285067873303,0.9468704909315446,0.983494593056346,0.9009009009009009,0.8733624454148471,0.9480469490504746,0.9760956175298805,0.8288288288288288,0.8141592920353983,0.920922828956149
8,0.9800796812749004,0.8018018018018018,0.8356807511737089,0.8970661080982293,0.9778030734206034,0.7657657657657657,0.8133971291866028,0.9017846852764109,0.9789413773477519,0.7837837837837838,0.8246445497630331,0.8993669559704083,0.9789413773477519,0.7747747747747747,0.8229665071770335,0.9005755559525902,0.9738190096755834,0.8018018018018018,0.7946428571428571,0.8808214154810126,0.9789413773477519,0.7747747747747747,0.8229665071770335,0.8963116194402816
9,0.9800796812749004,0.8648648648648649,0.8458149779735683,0.9178771602561921,0.9823562891291975,0.8918918918918919,0.8646288209606986,0.9186539712944679,0.9817871371656233,0.8828828828828829,0.8596491228070176,0.9144147919518764,0.9806488332384746,0.8738738738738738,0.8508771929824561,0.9150542771719541,0.981217985202049,0.8918918918918919,0.8571428571428571,0.9152950284186216,0.9795105293113261,0.8738738738738738,0.8434782608695652,0.9089643610863469
10,0.9817871371656233,0.8018018018018018,0.8476190476190476,0.8964631132203955,0.9778030734206034,0.7927927927927928,0.8186046511627907,0.8907856590714772,0.981217985202049,0.7927927927927928,0.8421052631578948,0.8954583236788182,0.9823562891291975,0.7927927927927928,0.8502415458937198,0.891766662999896,0.9829254410927718,0.8108108108108109,0.8571428571428571,0.9022655955424009,0.9840637450199203,0.8198198198198198,0.8666666666666667,0.8998970090182398
11,0.9789413773477519,0.8378378378378378,0.8340807174887893,0.8966763568877804,0.9829254410927718,0.8288288288288288,0.8598130841121495,0.9092911116974921,0.9795105293113261,0.8378378378378378,0.8378378378378378,0.9018748255631569,0.9817871371656233,0.8288288288288288,0.8518518518518519,0.9008736346864753,0.9817871371656233,0.8288288288288288,0.8518518518518519,0.9025898669970567,0.981217985202049,0.8288288288288288,0.847926267281106,0.8992211331736757
12,0.9800796812749004,0.8468468468468469,0.8430493273542602,0.9251648201467303,0.9817871371656233,0.8738738738738738,0.8584070796460177,0.9279350225597447,0.9795105293113261,0.8738738738738738,0.8434782608695652,0.9227446464601033,0.9789413773477519,0.8468468468468469,0.8355555555555555,0.9214022453292277,0.9806488332384746,0.8648648648648649,0.8495575221238938,0.92783517189971,0.9806488332384746,0.8468468468468469,0.8468468468468469,0.9143733051429873
13,0.9800796812749004,0.8288288288288288,0.8401826484018264,0.90865007327391,0.9852020489470689,0.8378378378378378,0.8773584905660378,0.9173649758958093,0.983494593056346,0.8288288288288288,0.863849765258216,0.9213047853976992,0.9846328969834945,0.8198198198198198,0.8708133971291867,0.9236170626664809,0.9840637450199203,0.8648648648648649,0.8727272727272727,0.9279058257383852,0.9852020489470689,0.8468468468468469,0.8785046728971964,0.9199942028422715
14,0.9800796812749004,0.8018018018018018,0.8356807511737089,0.9303979929273702,0.9806488332384746,0.8468468468468469,0.8468468468468469,0.9226737722358086,0.983494593056346,0.8558558558558559,0.867579908675799,0.9341714852868911,0.9817871371656233,0.8288288288288288,0.8518518518518519,0.9282578989127113,0.981217985202049,0.8378378378378378,0.8493150684931507,0.935540840427259,0.9789413773477519,0.8108108108108109,0.8294930875576036,0.9213753979867016
15,0.9766647694934547,0.8018018018018018,0.812785388127854,0.880717309705922,0.9760956175298805,0.8198198198198198,0.8125,0.891453256895717,0.9743881616391576,0.7837837837837838,0.7945205479452055,0.8805052371311447,0.974957313602732,0.7927927927927928,0.8,0.8836039705088145,0.9760956175298805,0.8018018018018018,0.8090909090909092,0.8843269031749662,0.9738190096755834,0.7837837837837838,0.7909090909090909,0.8758264656148378
16,0.9852020489470689,0.8108108108108109,0.8737864077669902,0.8858510935416373,0.9829254410927718,0.8018018018018018,0.8557692307692306,0.884092089887493,0.9806488332384746,0.7837837837837838,0.8365384615384617,0.8756441408977773,0.9829254410927718,0.8108108108108109,0.8571428571428571,0.8863481073427679,0.9806488332384746,0.7927927927927928,0.8380952380952381,0.8851007019305015,0.977233921457029,0.7747747747747747,0.8113207547169811,0.8606388861877214
17,0.9840637450199203,0.8558558558558559,0.8715596330275229,0.9173265550014746,0.9829254410927718,0.8738738738738738,0.8660714285714286,0.9290246692507583,0.9829254410927718,0.8648648648648649,0.8648648648648649,0.9292988636332659,0.9840637450199203,0.8648648648648649,0.8727272727272727,0.9300884365490041,0.9840637450199203,0.8828828828828829,0.8750000000000001,0.9293583904245084,0.9823562891291975,0.8738738738738738,0.8622222222222221,0.9237375699362915
18,0.9789413773477519,0.8648648648648649,0.8384279475982533,0.9267966455625225,0.9755264655663062,0.8648648648648649,0.8170212765957447,0.9155461042244012,0.9778030734206034,0.8468468468468469,0.8281938325991189,0.9135278020079259,0.9783722253841776,0.8468468468468469,0.8318584070796462,0.9161607422059417,0.9778030734206034,0.8648648648648649,0.8311688311688312,0.9162508425538771,0.981217985202049,0.8558558558558559,0.852017937219731,0.9168878445888407
