random_state,rf_base_accuracy,rf_base_recall,rf_base_f1,rf_base_pr_auc,rf_single_pass_accuracy,rf_single_pass_recall,rf_single_pass_f1,rf_single_pass_pr_auc,rf_multi_agent_all_accuracy,rf_multi_agent_all_recall,rf_multi_agent_all_f1,rf_multi_agent_all_pr_auc,rf_multi_agent_lc_accuracy,rf_multi_agent_lc_recall,rf_multi_agent_lc_f1,rf_multi_agent_lc_pr_auc,rf_multi_agent_cc_accuracy,rf_multi_agent_cc_recall,rf_multi_agent_cc_f1,rf_multi_agent_cc_pr_auc,rf_multi_agent_ls_accuracy,rf_multi_agent_ls_recall,rf_multi_agent_ls_f1,rf_multi_agent_ls_pr_auc
1,0.9778030734206034,0.6576576576576577,0.7891891891891892,0.9183324448981769,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9110029558793796,0.977233921457029,0.6666666666666666,0.7872340425531914,0.9072857726313222,0.9783722253841776,0.6666666666666666,0.7956989247311829,0.9057208953313948,0.9783722253841776,0.6846846846846847,0.8,0.9113173500962317,0.977233921457029,0.6666666666666666,0.7872340425531914,0.9039712991029066
2,0.981217985202049,0.7027027027027027,0.8253968253968255,0.9343627567256049,0.983494593056346,0.7477477477477478,0.8512820512820515,0.928680861949095,0.9817871371656233,0.7207207207207207,0.8333333333333333,0.9252054239993308,0.9840637450199203,0.7567567567567568,0.8571428571428572,0.9217803486128359,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9133196278008215,0.983494593056346,0.7387387387387387,0.8497409326424871,0.923757793482327
3,0.9789413773477519,0.6846846846846847,0.8042328042328043,0.9167531583672842,0.9789413773477519,0.6936936936936937,0.806282722513089,0.9203471647588103,0.9783722253841776,0.6756756756756757,0.797872340425532,0.9120606063809191,0.977233921457029,0.6576576576576577,0.7849462365591398,0.9132064847488451,0.9778030734206034,0.6666666666666666,0.7914438502673797,0.9124246123250359,0.9778030734206034,0.6756756756756757,0.7936507936507937,0.9032984695208766
4,0.9806488332384746,0.7297297297297297,0.826530612244898,0.9315812949463368,0.9817871371656233,0.7477477477477478,0.8383838383838385,0.925746458262469,0.983494593056346,0.7657657657657657,0.8542713567839195,0.9268359223876068,0.9840637450199203,0.7747747747747747,0.86,0.9293449822039517,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9248063446517385,0.981217985202049,0.7387387387387387,0.8324873096446701,0.9293012501611775
5,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9412280553336616,0.9840637450199203,0.7567567567567568,0.8571428571428572,0.9407956807706894,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9480953847404032,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9474421044226049,0.9823562891291975,0.7387387387387387,0.8410256410256409,0.9419530449318761,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9449623747892562
6,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9203040178873855,0.9840637450199203,0.7567567567567568,0.8571428571428572,0.9248148297943629,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9249127291840231,0.9823562891291975,0.7387387387387387,0.8410256410256409,0.9229425933321832,0.983494593056346,0.7387387387387387,0.8497409326424871,0.9113745733938093,0.9806488332384746,0.7027027027027027,0.8210526315789474,0.9207445499151451
7,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9427302738342441,0.9846328969834945,0.7837837837837838,0.8656716417910447,0.952840663993172,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9470738405415371,0.9823562891291975,0.7387387387387387,0.8410256410256409,0.9450354148313899,0.9829254410927718,0.7657657657657657,0.85,0.9405175414456388,0.9829254410927718,0.7567567567567568,0.8484848484848485,0.9408584647480465
8,0.9806488332384746,0.7387387387387387,0.8282828282828283,0.9018839382275203,0.9806488332384746,0.7207207207207207,0.8247422680412371,0.9097393303316885,0.9783722253841776,0.7027027027027027,0.8041237113402062,0.9052026255635652,0.9795105293113261,0.7207207207207207,0.8163265306122449,0.9035535399501586,0.981217985202049,0.7297297297297297,0.8307692307692307,0.91222158781194,0.9795105293113261,0.7117117117117117,0.8144329896907216,0.8968524920895805
9,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9313629062980207,0.9846328969834945,0.7927927927927928,0.8669950738916256,0.9438326104750099,0.9840637450199203,0.7747747747747747,0.86,0.9341290546891129,0.9857712009106432,0.7927927927927928,0.8756218905472637,0.940095116604265,0.983494593056346,0.7657657657657657,0.8542713567839195,0.936883425660362,0.9857712009106432,0.7927927927927928,0.8756218905472637,0.9336019238572171
10,0.9738190096755834,0.6216216216216216,0.75,0.8757276491647801,0.9766647694934547,0.6756756756756757,0.7853403141361257,0.8899783734679035,0.9743881616391576,0.6306306306306306,0.7567567567567568,0.8901699446302682,0.9766647694934547,0.6576576576576577,0.7807486631016042,0.8752521125043071,0.977233921457029,0.6666666666666666,0.7872340425531914,0.8884342396698313,0.9755264655663062,0.6486486486486487,0.770053475935829,0.8813756888325958
