random_state,xgb_base_accuracy,xgb_base_recall,xgb_base_f1,xgb_base_pr_auc,xgb_single_pass_accuracy,xgb_single_pass_recall,xgb_single_pass_f1,xgb_single_pass_pr_auc,xgb_multi_agent_all_accuracy,xgb_multi_agent_all_recall,xgb_multi_agent_all_f1,xgb_multi_agent_all_pr_auc,xgb_multi_agent_lc_accuracy,xgb_multi_agent_lc_recall,xgb_multi_agent_lc_f1,xgb_multi_agent_lc_pr_auc,xgb_multi_agent_cc_accuracy,xgb_multi_agent_cc_recall,xgb_multi_agent_cc_f1,xgb_multi_agent_cc_pr_auc,xgb_multi_agent_ls_accuracy,xgb_multi_agent_ls_recall,xgb_multi_agent_ls_f1,xgb_multi_agent_ls_pr_auc
1,0.9766647694934547,0.7837837837837838,0.8093023255813953,0.8964035483317423,0.9789413773477519,0.7567567567567568,0.8195121951219513,0.8791200840079305,0.9778030734206034,0.7567567567567568,0.8115942028985507,0.8887047522252767,0.9783722253841776,0.7747747747747747,0.8190476190476191,0.8891933389640467,0.9783722253841776,0.7297297297297297,0.81,0.8870041029761127,0.9778030734206034,0.7387387387387387,0.8078817733990147,0.8841701484490265
2,0.9817871371656233,0.7747747747747747,0.8431372549019608,0.9272504714273476,0.9823562891291975,0.7567567567567568,0.8442211055276383,0.9211995997096571,0.981217985202049,0.7477477477477478,0.8341708542713568,0.9157605207562014,0.9795105293113261,0.7477477477477478,0.8217821782178218,0.9014668611231851,0.9817871371656233,0.7747747747747747,0.8431372549019608,0.9111732301472527,0.9817871371656233,0.7477477477477478,0.8383838383838385,0.9129457209976918
3,0.9783722253841776,0.7567567567567568,0.8155339805825244,0.913093457768206,0.9778030734206034,0.7387387387387387,0.8078817733990147,0.9178601674701776,0.981217985202049,0.7567567567567568,0.835820895522388,0.9249586239180346,0.9778030734206034,0.7567567567567568,0.8115942028985507,0.9209955436431856,0.981217985202049,0.7747747747747747,0.8390243902439024,0.9301104706070652,0.9760956175298805,0.6936936936936937,0.7857142857142858,0.9072026807585929
4,0.981217985202049,0.8198198198198198,0.8465116279069766,0.9242294736953335,0.983494593056346,0.8288288288288288,0.863849765258216,0.9211427264882573,0.9800796812749004,0.8108108108108109,0.8372093023255813,0.9164247529339915,0.9795105293113261,0.8108108108108109,0.8333333333333334,0.9189715830546896,0.9795105293113261,0.7837837837837838,0.8285714285714285,0.8999537321467108,0.9823562891291975,0.8108108108108109,0.8530805687203792,0.9154055836467645
5,0.9840637450199203,0.8108108108108109,0.8653846153846155,0.9295685443262452,0.983494593056346,0.8108108108108109,0.861244019138756,0.9222176992403417,0.9840637450199203,0.8378378378378378,0.869158878504673,0.925571709191106,0.9823562891291975,0.8198198198198198,0.8544600938967136,0.9252650252939644,0.9852020489470689,0.8198198198198198,0.875,0.9236064237025933,0.9852020489470689,0.8108108108108109,0.8737864077669902,0.9234849472763436
6,0.9829254410927718,0.8018018018018018,0.8557692307692306,0.9013219495097847,0.9846328969834945,0.7837837837837838,0.8656716417910447,0.9152407016495099,0.981217985202049,0.7477477477477478,0.8341708542713568,0.9116526904725112,0.9789413773477519,0.7387387387387387,0.8159203980099503,0.9013991905849323,0.9829254410927718,0.7747747747747747,0.8514851485148515,0.9073474955259168,0.9817871371656233,0.7657657657657657,0.8415841584158416,0.9105937190090324
7,0.9823562891291975,0.8198198198198198,0.8544600938967136,0.9203710454009322,0.981217985202049,0.7927927927927928,0.8421052631578948,0.9256519067134089,0.9846328969834945,0.8378378378378378,0.8732394366197184,0.9187718385180437,0.9800796812749004,0.7927927927927928,0.8341232227488151,0.9247382282335641,0.9829254410927718,0.8198198198198198,0.8584905660377359,0.9298596862740215,0.981217985202049,0.8018018018018018,0.8436018957345972,0.9264886402444444
8,0.9789413773477519,0.7477477477477478,0.8177339901477833,0.8931040475059877,0.977233921457029,0.7297297297297297,0.8019801980198019,0.9029899389056798,0.9783722253841776,0.7657657657657657,0.8173076923076923,0.9040281717752724,0.9789413773477519,0.7387387387387387,0.8159203980099503,0.8964871186126407,0.981217985202049,0.7747747747747747,0.8390243902439024,0.9011016693264402,0.9760956175298805,0.7387387387387387,0.7961165048543689,0.8942618386608828
9,0.9852020489470689,0.8288288288288288,0.8761904761904762,0.9284901849545381,0.983494593056346,0.8198198198198198,0.862559241706161,0.9329800203761077,0.983494593056346,0.8198198198198198,0.862559241706161,0.9309131512185214,0.9852020489470689,0.8378378378378378,0.8773584905660378,0.9305726001624856,0.9846328969834945,0.8108108108108109,0.8695652173913043,0.9336844245663934,0.9823562891291975,0.7927927927927928,0.8502415458937198,0.9290778779354507
10,0.9755264655663062,0.7117117117117117,0.7860696517412935,0.8592265370379956,0.9743881616391576,0.7027027027027027,0.7761194029850748,0.875060971924208,0.9766647694934547,0.7027027027027027,0.7918781725888325,0.8624936023132782,0.9755264655663062,0.7117117117117117,0.7860696517412935,0.8671949803015649,0.9743881616391576,0.6846846846846847,0.7715736040609138,0.8692013727269954,0.974957313602732,0.6936936936936937,0.7777777777777778,0.861920192326627
