model,comparison,group_A,group_B,metric,n_iters,mean_A,mean_B,mean_diff,t_statistic,p_value,cohens_d,ci_95_lower,ci_95_upper,significant
LR,base → single_pass,base,single_pass,accuracy,50,0.968549,0.968367,-0.000182,-0.5313,0.5976,-0.0751,-0.000871,0.000507,No
LR,base → single_pass,base,single_pass,recall,50,0.865225,0.875495,0.01027,4.7686,0.0,0.6744,0.005942,0.014598,Yes
LR,base → single_pass,base,single_pass,f1,50,0.776835,0.777996,0.001162,0.5647,0.5748,0.0799,-0.002972,0.005296,No
LR,base → single_pass,base,single_pass,pr_auc,50,0.898952,0.900383,0.001432,1.5584,0.1256,0.2204,-0.000414,0.003278,No
LR,base → multi_agent_all,base,multi_agent_all,accuracy,50,0.968549,0.969175,0.000626,1.9901,0.0522,0.2814,-6e-06,0.001258,No
LR,base → multi_agent_all,base,multi_agent_all,recall,50,0.865225,0.868468,0.003243,1.7685,0.0832,0.2501,-0.000442,0.006929,No
LR,base → multi_agent_all,base,multi_agent_all,f1,50,0.776835,0.780942,0.004107,2.1241,0.0387,0.3004,0.000221,0.007992,Yes
LR,base → multi_agent_all,base,multi_agent_all,pr_auc,50,0.898952,0.900283,0.001331,1.7782,0.0816,0.2515,-0.000173,0.002835,No
LR,single_pass → multi_agent_all,single_pass,multi_agent_all,accuracy,50,0.968367,0.969175,0.000808,2.5359,0.0145,0.3586,0.000168,0.001449,Yes
LR,single_pass → multi_agent_all,single_pass,multi_agent_all,recall,50,0.875495,0.868468,-0.007027,-3.1674,0.0026,-0.4479,-0.011485,-0.002569,Yes
LR,single_pass → multi_agent_all,single_pass,multi_agent_all,f1,50,0.777996,0.780942,0.002945,1.5196,0.135,0.2149,-0.00095,0.00684,No
LR,single_pass → multi_agent_all,single_pass,multi_agent_all,pr_auc,50,0.900383,0.900283,-0.0001,-0.0936,0.9258,-0.0132,-0.002256,0.002055,No
LR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,accuracy,50,0.969254,0.969175,-8e-05,-0.3267,0.7453,-0.0462,-0.00057,0.000411,No
LR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,recall,50,0.865766,0.868468,0.002703,1.9415,0.058,0.2746,-9.5e-05,0.0055,No
LR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,f1,50,0.780853,0.780942,8.9e-05,0.0601,0.9524,0.0085,-0.002886,0.003064,No
LR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,pr_auc,50,0.899537,0.900283,0.000746,1.9841,0.0529,0.2806,-1e-05,0.001501,No
LR,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,accuracy,50,0.969106,0.969175,6.8e-05,0.2503,0.8034,0.0354,-0.00048,0.000617,No
